transaction_id,fraud_vector,actor
8e28a7aa-29cd-4dd2-bc91-4455b273661e,X-1,3P
6f743bb8-55ae-4ae2-86db-f98380cb5d07,PF-1,B
98c95f15-cd85-437c-bb39-bb2732d6a933,PF-1,B
28c2eb01-8203-40e2-b4ab-a1a6157176ab,PF-1,B
46337aae-de9b-480f-b975-bb3202573789,PF-1,B
e8c09671-e243-4101-a182-9c79b6b4ad90,PF-1,B
2763bc75-0730-4a8f-a0c0-271b403de886,PF-1,B
ec0b6c9d-9d3b-41c4-8469-98bcd54aa86a,PF-1,B
4f9a5e3a-81d6-475f-84f1-3d167118ee48,PF-1,B
dd87b43b-7498-4abf-9906-df289fb96c28,PF-1,B
0b20162f-8de2-4898-a4d5-04c9fb8cb61b,PF-1,B
3153bd67-1fa4-4aeb-a595-c07ebcb0746a,PF-1,B
5c33e184-335f-4703-8702-12f57475cf87,PF-1,B
b642e9e0-9f5b-471a-a0a7-e7c80cf6c1d5,PF-1,B
509277c1-a8f7-448c-8a72-38b327976c10,PF-1,B
c733186c-c20c-4cad-9c39-9a3400d94d3c,PF-1,B
5c918a00-0f22-4836-99aa-c8c507505951,PF-1,B
2ab253e6-5b96-461a-ae0b-4c50fb39edf7,PF-1,B
9bd9569b-9d59-4295-bb45-6e7752d82763,PF-1,B
2c9b512a-c5fd-4bf7-9075-d137ee2bb25e,PF-1,B
414e34b8-fd61-46b3-9b81-90486c840cb0,PF-1,B
ed4417ec-3169-4a9c-9565-9fcab4acdbe3,PF-1,B
f91cad58-f01a-4afb-9e33-ab47bf0d20e4,PF-1,B
9a14bd95-5936-48d2-b13e-57bed072496d,PF-1,B
2319cedc-2ba0-47a3-94b4-9e8500504ae6,PF-1,B
48eb238a-63c8-4d0d-82e2-01c73cd62996,PF-1,B
f35bb0f7-fd69-4fb1-8954-9773091e1b01,PF-1,B
4e961003-74b1-4dcf-89f4-ca58a496c8bf,PF-1,B
9e06712a-0cf2-4f29-bbd8-bfbb306a32d2,PF-1,B
8d3f8a10-09e7-4177-994d-37210949508a,PF-1,B
cd447081-57e1-4f9d-8086-49777b9df8fc,PF-1,B
e7354f03-53c3-4fa2-90c4-726d5ad53750,PF-1,B
6f1ad9c1-bc91-410a-a92a-c37071b161e0,PF-1,B
9ee586b4-eba9-4ff1-881b-a0e771e4b4bd,PF-1,B
8f0da8f0-3b72-47b6-8e96-9d854d964538,PF-1,B
966de399-f357-4265-90a6-b9761ac68d9a,PF-1,B
b8c612a5-d701-4101-a886-dadabca66cec,PF-1,B
cd1fd386-f85d-417f-b1de-ddda6cb664fe,PF-1,B
ea938191-1ba4-43bb-af5a-a872476acf76,PF-1,B
d53be950-5323-49be-a71e-6f83b8a03160,PF-1,B
fba21ac1-39cc-4d3b-ba67-d3c8602e2fe4,PF-1,B
d5df2b72-082e-428f-9d04-f2a7ffe337cb,APP-2,S
bbf1ecad-aa3d-4b8b-868f-af83478bc062,APP-2,S
de101726-493a-42c8-8a5b-82f7a705827c,APP-2,S
41b9a4bd-af18-4592-9fe4-43619ad6270f,APP-2,S
58418903-ca4c-4bbd-a914-31e8940d689c,APP-2,S
6d53740d-e58e-42aa-937f-d54c55ea13c0,APP-2,S
676c3959-7aac-41c6-8d78-ef7a490cca48,APP-2,S
3dbc4e01-4e26-4f2d-96f4-7454a30468ab,APP-2,S
7e22d0cb-2423-4fdf-bd0c-acd6fef3420e,APP-2,S
5251573b-894b-456f-a013-4133270de526,APP-2,S
ec51a788-c406-43bd-976c-9a83cae40bd6,APP-2,S
8a967eb9-40d2-468d-b85c-f0fe75633504,APP-2,S
2cb72bf8-93a6-4fa0-ae03-3afdb645a1d3,APP-2,S
bf9b7da5-7129-4003-8a22-25abbb4c9b57,APP-2,S
1f68739e-f7a7-4605-8bd8-a15cbfc7ac9f,APP-2,S
eb018224-5a1c-4190-81be-14bc118bd3ca,APP-2,S
266bd1c2-ba99-4a4b-abcc-135cee0f2207,APP-2,S
ebef9e57-0595-44f6-8312-e97f44b7fdd9,APP-2,S
ac9c628b-f59e-4e6b-aff7-7139ef194d4f,APP-2,S
992a1128-369d-4201-8a7b-ebbdc756ac89,APP-2,S
639755f6-b1a5-42ab-904e-135b11237a00,APP-2,S
fa375399-fed1-4492-b966-3735f217b0d6,APP-2,S
b8762991-8258-4656-8c34-00c738e43938,APP-2,S
030a81af-7d0a-4c69-9bfa-bc70a2c5ad64,APP-2,S
4ae04d2d-d150-4345-8f82-9f063610f18e,APP-2,S
4b4cf2fc-f109-4a90-a61c-eedcaff5498d,CC-1,M
afc04f77-476d-45e1-aae9-01db559bdc66,CC-1,M
04c54590-0710-4580-984a-bac7fb2a849f,CC-1,M
fca2040f-a701-4b5d-b4b4-f570758f2e70,CC-1,M
8300113f-d152-4155-9136-c645a0501867,CC-1,M
8900a0f2-54b3-463f-862c-8df69d507689,CC-1,M
e83c2c3b-ee55-42c6-a2d5-215c7986afa6,CC-1,M
3da973b7-712f-4d4d-9c16-624bd8772ce6,CC-1,M
3f850e4b-8e42-43e8-ab5d-dd7a5c203237,CC-1,M
52a192a0-ffe2-4272-a9c4-ded78c64468f,CC-1,M
7b69bc9f-ede1-4f32-ac39-20da85b6cab3,CC-1,M
f8228a57-748f-4c1d-b68d-f650315e62fe,CC-1,M
6de31c35-9813-4f75-a41f-3d011e348b55,CC-1,M
a8bee071-a1f0-491f-a933-b068bf429e1b,CC-1,M
cc90fdc4-4e92-47a5-bce4-11f394c44555,CC-1,M
e32cea67-ad29-4bbc-b688-fa0f09737e24,CC-1,M
15292bb0-7400-437d-8b7d-5da6c117bf62,CC-1,M
39542ef2-ea6d-48d5-acd3-4cc15a5cc827,CC-1,M
dc6deb47-00b8-4ca6-a2f2-d71bf31bed9a,CC-1,M
0b8a7889-34b2-4911-90cf-e7e4c0e1af87,CC-1,M
fcddc740-5e39-4946-8f0b-a0a4294b0765,CC-1,M
c46056c9-b512-40ba-800c-2e869d6394c3,CC-1,M
5b3b3ae5-57a1-41eb-8de3-46c97616aa63,DW-1,3P
5a89d492-b8d4-4158-b1f5-2d8b1fdc8ffb,DW-1,3P
9f15f148-d9c7-44d2-b675-3a3f968520f5,DW-1,3P
3ef70c32-b794-46ec-9227-95480c67cf2e,DW-1,3P
a8346c81-10c1-41af-b455-21f580c92237,DW-1,3P
d23ed45f-677e-481b-aeca-5b9d39564f4c,DW-1,3P
6b23c375-df75-4c2a-83bf-56a1d9d12da0,EC-1,3P
d0f84531-2995-4b93-abea-575c5dc8fb9b,EC-1,3P
d4cc5a9f-2c2c-407b-8c60-b7063855f4e0,EC-1,3P
a9f6988f-714e-4f85-b1bb-f453cc854cf2,EC-1,3P
edba7284-a6a5-43f0-b037-c38556eda1c2,EC-1,3P
0767f52f-d778-45c5-b675-1dc59b9cd868,EC-1,3P
236287c5-c12f-4bd3-a315-7566d21d0944,EC-1,3P
8f9ec7d0-4620-4573-897b-b449fe66fb78,EC-1,3P
693c7485-9290-481d-bf89-f8d1fc05ebdd,EC-1,3P
cbf14b0e-f4ba-477b-89a7-075ea6f30d20,EC-1,3P
a8f89c53-fa5a-4552-af56-cdfe83934e23,PL-2,B
3060497e-9326-43ac-bfb6-b122f7612dd8,PL-2,B
8a515375-bf2c-4484-9b59-24c4c5a4bb19,PL-2,B
4bc0b73d-2c78-4e84-a1da-dd59eb29a874,PL-2,B
d330ea90-43e6-4393-bf91-1b55bae425de,PL-2,B
fe075958-cde5-45a8-801f-1331688d0a58,PL-2,B
c5503c39-0966-4e65-b981-9c2b11f69f02,PL-2,B
9700a63c-1fc5-4ff5-abef-3a573804bea1,PL-2,B
d7c01974-476b-48a7-bc9d-e4c32e02f10a,PL-2,B
bf84380f-9c5d-4d0b-ad0b-05b0a6aa3306,PL-2,B
115a147f-7762-44af-8b69-179461f8e116,PL-2,B
537499b7-3ecf-44c0-af01-6785d8683d84,PL-2,B
75f38629-d75f-4fd8-802c-b85d7f5c59aa,PL-2,B
308e6e16-1081-44fa-8449-43b6495f1690,PL-2,B
67cdc8a7-4db6-482c-aaed-c198d181cd03,PL-2,B
0504c665-1aa1-423d-b734-d2d49d052e7d,PL-2,B
947150f8-2dda-4118-b9e6-697ab7cf41dc,PL-2,B
67d66b23-01f3-414f-9c4e-989388324218,PL-2,B
4ec7eeb0-3026-4cbe-ac6a-bb792be3bc0b,PL-2,B
e84f32da-8cd7-4a13-a672-231e926df9db,PL-2,B
12002b6b-dd5b-42b5-8e51-5c1e569387be,PL-2,B
c375f1aa-24f4-44f3-9e7c-49aef1d45e5e,PL-2,B
c1d654a3-4837-458f-9197-c5a1bc09f3ff,PL-2,B
83d208e6-024c-4484-9bed-c4c8ce750213,PL-2,B
c4bf6265-2c29-4a77-b529-3460102272c5,CB-3,S
795823d7-061e-4ecd-b5ab-ef833c814ef4,CB-3,S
2a82a1ee-0f4a-4bc8-aef4-5e580ac04e51,CB-3,S
cd69c315-0a96-4b1f-98b9-f9f156ee0e09,CB-3,S
8958ea24-5fbc-4955-8440-b344c0630448,CB-1,3P
1ac0cfc3-e8ce-4834-bfff-729d97f474ba,CB-1,3P
2a1454fc-8d1e-4584-b316-12e3d00d76d9,CB-1,3P
d31ff6cd-5848-49ed-a276-c22bf2caf188,CB-1,3P
3d20993d-6ced-4b4d-99f6-1cd507bc09da,CB-4,M
fe735d59-2328-4341-ab6d-a6ffa274e1d7,CB-4,M
6b455298-1503-4778-b910-54bcf0528966,CB-4,M
375195e2-039f-442e-95a4-f0e1bba7696e,CB-4,M
c5e96eab-a02b-4944-878c-f18412e6c722,CB-4,M
2833cccf-0549-4a38-84d5-8321eccb7220,CB-4,M
0311fef5-803a-48a0-a7b0-4687826321e5,CB-4,M
00598106-8eae-4ce3-a563-44079f709bed,CB-4,M
5645ba84-b969-4ebe-98ef-b68e349b3036,CB-4,M
3b4303ac-e59e-4e4f-bceb-1e30a52c29f3,CB-4,M
a0d71106-f167-4f40-878d-b0e94631acb8,CB-4,M
4dee7f11-fa0b-42d7-a851-0c6e3bbd6e11,CB-4,M
e6c872c7-a561-412a-b938-bb37c197c7fa,CB-4,M
bd10ac2e-f6e8-4996-99ee-e0c1c707feb2,CB-4,M
904816fd-72bd-4662-acb3-959e8c467983,CB-4,M
9b14b8ab-f859-4476-8714-b4968a02dbee,CB-4,M
048d2cdd-bfef-4240-9590-41f32d6f498b,CB-4,M
1af68b05-0dc7-41c1-8d74-20d68f13ff70,CB-4,M
4befacc3-2a05-4482-96d9-32be21cd770c,CB-4,M
b4415f80-43a4-498c-823d-9c550cbaf593,CB-4,M
f55b8242-1189-4db4-8232-210478afa4a5,CB-4,M
a8b0d5ab-dd14-454b-8e54-31fbcd2966a1,CB-4,M
045888a9-2bdd-4e2b-9448-ef1330f776be,CB-4,M
5538ced6-872c-4647-9596-0c29bb45b962,CB-4,M
e76ed7ae-30e8-4a1e-bdbe-e43d763f88c8,CB-4,M
b550e4e5-58f3-4752-ad2a-d3efe43283e8,CB-4,M
